Paper	Effect Size (Cohen's d)	Standard Error	Mean (Treatment)	Mean (Control)	Std Dev (Treatment)	Std Dev (Control)	Sample Size (Treatment)	Sample Size (Control)
P1	0.8	0.12	4.5	3.7	0.7	0.7	30	30
P2	1.2	0.15	5.5	4.1	0.8	0.8	30	30
P3	0.6	0.10	4.0	3.5	0.6	0.6	30	30
P4	1.0	0.13	5.0	4.0	0.8	0.8	30	30
P5	0.7	0.11	4.2	3.5	0.7	0.7	30	30
P6	0.9	0.14	4.8	3.9	0.8	0.8	30	30
P7	1.3	0.16	6.0	4.5	1.0	1.0	30	30
P8	0.5	0.09	3.8	3.3	0.6	0.6	30	30
P9	1.1	0.13	5.3	4.2	0.8	0.8	30	30
P10	0.8	0.12	4.5	3.7	0.7	0.7	30	30
P11	0.6	0.10	4.0	3.5	0.6	0.6	30	30
P12	1.2	0.15	5.5	4.1	0.8	0.8	30	30
P13	0.5	0.09	3.8	3.3	0.6	0.6	30	30
P14	1.0	0.13	5.0	4.0	0.8	0.8	30	30
P15	0.7	0.11	4.2	3.5	0.7	0.7	30	30
P16	0.9	0.14	4.8	3.9	0.8	0.8	30	30
P17	1.3	0.16	6.0	4.5	1.0	1.0	30	30
P18	0.5	0.09	3.8	3.3	0.6	0.6	30	30
P19	1.1	0.13	5.3	4.2	0.8	0.8	30	30
P20	0.8	0.12	4.5	3.7	0.7	0.7	30	30
P21	0.6	0.10	4.0	3.5	0.6	0.6	30	30
P22	1.2	0.15	5.5	4.1	0.8	0.8	30	30
P23	0.5	0.09	3.8	3.3	0.6	0.6	30	30
P24	1.0	0.13	5.0	4.0	0.8	0.8	30	30
P25	0.7	0.11	4.2	3.5	0.7	0.7	30	30
P26	0.6	0.10	4.0	3.5	0.6	0.6	30	30
P27	1.3	0.16	6.0	4.5	1.0	1.0	30	30
P28	0.5	0.09	3.8	3.3	0.6	0.6	30	30
P29	1.1	0.13	5.3	4.2	0.8	0.8	30	30
